ECPRI version,ECPRI Data Format Ecpri Message,Ecpri Payload Length,ecpriPcid,ecpriSeqid,dataDirection,payloadVersion,filterIndex,frameId,SubframeId,SlotId,Symbolid,SectionsID,rb,StartPrb,NumOfPrb,Sampling ,ByteStart,ByteEnd,TimeStamp(s),TimeStamp(us/ns),PacketOffsetTo10ms(ns),PacketOffsetTo10ms(utu),N1,PacketAdvanceToAif(ns)
1,0,1300,0,8576,1,1,0,243,4,1,13,1,0,92,46,9,236619,237906,315965949,314707580,4707580,5784674,755,-256742.9
1,0,1272,0,8832,1,1,0,243,4,1,13,1,0,138,45,9,237961,239220,315965949,314708064,4708064,5785269,755,-256258.9
1,0,1272,0,9088,1,1,0,243,4,1,13,1,0,183,45,9,239275,240534,315965949,314708548,4708548,5785864,755,-255774.9
1,0,1272,0,9344,1,1,0,243,4,1,13,1,0,228,45,9,240589,241848,315965949,314709025,4709025,5786450,755,-255297.9
1,0,1300,128,8064,1,1,0,243,4,1,13,1,0,0,46,9,241903,243190,315965949,314709521,4709521,5787059,755,-254801.9
1,0,1300,128,8320,1,1,0,243,4,1,13,1,0,46,46,9,243245,244532,315965949,314710013,4710013,5787664,755,-254309.9
1,0,1300,128,8576,1,1,0,243,4,1,13,1,0,92,46,9,244587,245874,315965949,314710498,4710498,5788260,755,-253824.9
1,0,1272,128,8832,1,1,0,243,4,1,13,1,0,138,45,9,245929,247188,315965949,314710982,4710982,5788855,755,-253340.9
1,0,1272,128,9088,1,1,0,243,4,1,13,1,0,183,45,9,247243,248502,315965949,314711466,4711466,5789449,755,-252856.9
1,0,1272,128,9344,1,1,0,243,4,1,13,1,0,228,45,9,248557,249816,315965949,314711942,4711942,5790034,755,-252380.9
1,0,1300,0,9600,1,1,0,243,5,0,0,1,0,0,46,9,249871,251158,315965949,314742687,4742687,5827814,755,-257313
1,0,1300,0,9856,1,1,0,243,5,0,0,1,0,46,46,9,251213,252500,315965949,314743180,4743180,5828420,755,-256820
1,0,1300,0,10112,1,1,0,243,5,0,0,1,0,92,46,9,252555,253842,315965949,314743664,4743664,5829014,755,-256336
1,0,1272,0,10368,1,1,0,243,5,0,0,1,0,138,45,9,253897,255156,315965949,314744148,4744148,5829609,755,-255852
1,0,1272,0,10624,1,1,0,243,5,0,0,1,0,183,45,9,255211,256470,315965949,314744632,4744632,5830204,755,-255368
1,0,1272,0,10880,1,1,0,243,5,0,0,1,0,228,45,9,256525,257784,315965949,314745109,4745109,5830790,755,-254891
1,0,1300,128,9600,1,1,0,243,5,0,0,1,0,0,46,9,257839,259126,315965949,314745605,4745605,5831399,755,-254395
1,0,1300,128,9856,1,1,0,243,5,0,0,1,0,46,46,9,259181,260468,315965949,314746097,4746097,5832004,755,-253903
1,0,1300,128,10112,1,1,0,243,5,0,0,1,0,92,46,9,260523,261810,315965949,314746582,4746582,5832600,755,-253418
